meal_1_idx,meal_2_idx,meal_3_idx,meal_4_idx,meal_5_idx,meal_6_idx,meal_7_idx,meal_8_idx,meal_9_idx,meal_10_idx,meal_11_idx,meal_12_idx,meal_13_idx,meal_14_idx,meal_15_idx,meal_16_idx,meal_17_idx,meal_18_idx,meal_19_idx,meal_20_idx,meal_21_idx,meal_22_idx,meal_23_idx,meal_24_idx,meal_25_idx,meal_26_idx,meal_27_idx,meal_28_idx,meal_29_idx,meal_30_idx,meal_31_idx,meal_32_idx,meal_33_idx,meal_34_idx,meal_35_idx,meal_36_idx,meal_37_idx,meal_38_idx,meal_39_idx,meal_40_idx,meal_41_idx,meal_42_idx,meal_43_idx,meal_44_idx,meal_45_idx,meal_46_idx,meal_47_idx,meal_48_idx,meal_49_idx,meal_50_idx,meal_51_idx,meal_52_idx,meal_53_idx,meal_54_idx,meal_55_idx,meal_56_idx,meal_57_idx,meal_58_idx,meal_59_idx,meal_60_idx,meal_61_idx,meal_62_idx
nasi telur,mi instan ,capcay,nasipadang,cireng,gorengan,bubur,cireng,gorengan,roti,capcay,gorengan,buah,mi instan ,nasi telur,sate,sate,sate,sate,nasi telur,nasipadang,cireng,warteg,nasi telur,bubur,capcay,mi instan ,seblak,salad,bubur,nasi telur,nasi telur,nasi telur,bubur,soto,nasipadang,mieayam,bubur,nasipadang,seblak,mieayam,nasi_uduk,capcay,roti,mi instan ,nasigoreng,cireng,ayamgeprek,nasi telur,soto,gorengan,buah,gorengan,seblak,salad,nasi_uduk,bubur,mi instan ,warteg,bubur,seblak,mieayam
bakso,salad,nasi telur,gorengan,sate,buah,bakso,nasigoreng,ayamgeprek,salad,buah,sate,cireng,cireng,nasi_uduk,seblak,warteg,seblak,seblak,soto,warteg,cireng,ayamgeprek,nasipadang,mi instan ,gorengan,nasi telur,cireng,bubur,roti,mi instan ,soto,nasi telur,gorengan,soto,salad,bakso,seblak,warteg,soto,mieayam,nasi_uduk,capcay,nasigoreng,salad,soto,cireng,warteg,bakso,buah,seblak,roti,salad,nasi telur,gorengan,bubur,sate,nasi telur,roti,sate,nasi telur,buah
buah,mieayam,nasigoreng,ayamgeprek,bakso,capcay,warteg,cireng,soto,seblak,roti,nasigoreng,roti,nasigoreng,ayamgeprek,buah,salad,mi instan ,seblak,seblak,nasipadang,gorengan,soto,capcay,capcay,cireng,roti,bubur,nasigoreng,bakso,capcay,salad,sate,nasipadang,ayamgeprek,warteg,seblak,gorengan,nasi telur,gorengan,gorengan,buah,mi instan ,cireng,capcay,bubur,ayamgeprek,bakso,warteg,bakso,warteg,roti,ayamgeprek,nasipadang,mieayam,mieayam,bakso,bakso,bakso,warteg,soto,roti
mi instan ,bubur,ayamgeprek,mi instan ,ayamgeprek,nasi telur,warteg,mi instan ,nasi telur,salad,mi instan ,mieayam,nasi telur,nasigoreng,soto,ayamgeprek,nasipadang,nasigoreng,mi instan ,mi instan ,bubur,nasi telur,bakso,buah,capcay,nasi telur,nasipadang,soto,buah,cireng,cireng,nasi telur,mieayam,gorengan,sate,gorengan,capcay,capcay,buah,ayamgeprek,gorengan,capcay,cireng,salad,ayamgeprek,nasigoreng,buah,buah,bakso,soto,salad,nasigoreng,warteg,cireng,mieayam,roti,nasigoreng,mi instan ,mi instan ,nasi telur,nasigoreng,roti
roti,warteg,sate,gorengan,ayamgeprek,sate,nasipadang,roti,salad,bakso,mieayam,sate,cireng,nasi_uduk,nasipadang,nasigoreng,cireng,nasigoreng,buah,roti,bubur,nasi telur,sate,salad,gorengan,nasi_uduk,warteg,mieayam,capcay,nasi_uduk,ayamgeprek,bubur,warteg,cireng,roti,mi instan ,buah,sate,capcay,capcay,sate,nasigoreng,nasi telur,seblak,sate,cireng,warteg,cireng,salad,bubur,nasipadang,capcay,gorengan,bubur,roti,capcay,bakso,nasi_uduk,bakso,sate,nasigoreng,cireng
capcay,cireng,sate,warteg,nasi_uduk,sate,salad,bakso,bakso,roti,nasi telur,ayamgeprek,cireng,nasigoreng,bubur,capcay,warteg,salad,seblak,gorengan,ayamgeprek,nasipadang,bakso,roti,capcay,salad,roti,soto,mieayam,warteg,gorengan,capcay,buah,capcay,ayamgeprek,gorengan,seblak,nasigoreng,buah,mieayam,soto,nasipadang,salad,gorengan,soto,bubur,roti,buah,gorengan,soto,buah,soto,buah,mieayam,mi instan ,gorengan,salad,nasi_uduk,nasigoreng,warteg,sate,sate
seblak,gorengan,capcay,sate,bakso,seblak,capcay,capcay,sate,mieayam,warteg,buah,cireng,bubur,roti,salad,bakso,mieayam,gorengan,nasipadang,mieayam,roti,seblak,seblak,capcay,nasi_uduk,mi instan ,soto,nasigoreng,bubur,capcay,nasigoreng,nasipadang,nasipadang,bakso,nasigoreng,cireng,nasi_uduk,cireng,soto,mieayam,cireng,buah,mi instan ,nasi telur,nasigoreng,bubur,gorengan,ayamgeprek,bakso,buah,seblak,bubur,soto,nasi telur,bakso,gorengan,gorengan,roti,buah,gorengan,sate
warteg,sate,seblak,warteg,nasi_uduk,nasi telur,nasi_uduk,nasi_uduk,bakso,seblak,salad,salad,soto,roti,seblak,buah,gorengan,mieayam,gorengan,warteg,sate,nasigoreng,nasi telur,mi instan ,sate,buah,capcay,nasigoreng,nasi telur,warteg,buah,nasigoreng,nasi telur,mieayam,ayamgeprek,gorengan,gorengan,buah,cireng,nasi telur,nasi telur,bubur,bubur,cireng,cireng,buah,warteg,cireng,nasi_uduk,bubur,sate,bakso,mieayam,nasi telur,cireng,warteg,soto,warteg,mieayam,nasi_uduk,bubur,mieayam
ayamgeprek,nasi telur,soto,ayamgeprek,cireng,cireng,sate,nasipadang,warteg,mi instan ,seblak,soto,sate,nasipadang,ayamgeprek,capcay,ayamgeprek,ayamgeprek,capcay,bubur,nasipadang,roti,cireng,salad,soto,salad,nasipadang,capcay,bubur,roti,nasipadang,gorengan,mieayam,sate,capcay,roti,gorengan,mi instan ,capcay,nasigoreng,mieayam,nasigoreng,nasigoreng,seblak,nasipadang,soto,sate,mi instan ,sate,nasipadang,sate,warteg,bubur,seblak,bakso,gorengan,gorengan,nasipadang,nasipadang,ayamgeprek,mi instan ,sate
bubur,salad,mi instan ,nasi telur,cireng,capcay,nasi_uduk,roti,soto,mi instan ,mieayam,bubur,ayamgeprek,mieayam,bakso,capcay,bubur,gorengan,capcay,gorengan,nasi telur,ayamgeprek,nasipadang,mieayam,ayamgeprek,soto,mi instan ,roti,salad,capcay,seblak,bubur,bubur,nasigoreng,warteg,sate,mi instan ,nasigoreng,warteg,buah,mieayam,capcay,nasigoreng,gorengan,bakso,roti,mieayam,bubur,seblak,warteg,salad,roti,nasigoreng,nasi telur,sate,nasi telur,buah,sate,nasipadang,warteg,mieayam,gorengan
capcay,sate,gorengan,seblak,roti,capcay,gorengan,nasi_uduk,bakso,sate,cireng,seblak,capcay,buah,buah,nasipadang,cireng,nasi_uduk,nasi telur,seblak,bubur,bubur,seblak,nasi_uduk,soto,roti,capcay,cireng,cireng,soto,bubur,buah,buah,gorengan,gorengan,ayamgeprek,warteg,cireng,ayamgeprek,warteg,sate,seblak,capcay,bubur,seblak,salad,nasigoreng,salad,warteg,gorengan,bubur,mi instan ,roti,warteg,mi instan ,ayamgeprek,nasi telur,nasipadang,bubur,buah,mi instan ,roti
sate,nasipadang,cireng,nasigoreng,seblak,cireng,warteg,mieayam,seblak,mi instan ,mieayam,buah,ayamgeprek,ayamgeprek,nasi telur,capcay,capcay,nasi telur,gorengan,nasi_uduk,nasipadang,salad,gorengan,bubur,nasi_uduk,buah,nasi_uduk,nasi telur,nasipadang,seblak,nasi telur,warteg,nasi_uduk,mieayam,seblak,mi instan ,seblak,buah,nasi telur,seblak,ayamgeprek,capcay,mi instan ,sate,nasi_uduk,nasi_uduk,mieayam,buah,bubur,seblak,capcay,salad,ayamgeprek,salad,bubur,sate,seblak,roti,nasi_uduk,capcay,mi instan ,nasigoreng
nasipadang,buah,soto,seblak,cireng,ayamgeprek,nasi telur,nasigoreng,nasi_uduk,roti,buah,bubur,buah,cireng,nasi_uduk,cireng,nasigoreng,bakso,cireng,nasi_uduk,warteg,cireng,soto,bakso,seblak,buah,nasipadang,bubur,capcay,mieayam,ayamgeprek,bubur,buah,nasi_uduk,nasi_uduk,cireng,capcay,salad,soto,nasigoreng,sate,mieayam,nasi_uduk,bakso,buah,nasipadang,mieayam,nasigoreng,warteg,nasi_uduk,gorengan,seblak,gorengan,capcay,cireng,nasi telur,cireng,sate,gorengan,nasi_uduk,mi instan ,mi instan 
seblak,seblak,mi instan ,nasigoreng,bubur,seblak,nasi_uduk,ayamgeprek,bubur,nasigoreng,buah,nasigoreng,nasi telur,ayamgeprek,gorengan,buah,warteg,mi instan ,nasi_uduk,warteg,nasi telur,bubur,soto,seblak,nasigoreng,gorengan,buah,soto,soto,gorengan,bubur,seblak,warteg,bakso,seblak,mieayam,cireng,warteg,nasigoreng,nasipadang,ayamgeprek,nasipadang,ayamgeprek,bakso,gorengan,capcay,bakso,capcay,seblak,warteg,buah,nasigoreng,seblak,seblak,buah,seblak,salad,nasi_uduk,warteg,bakso,buah,nasigoreng
nasi telur,soto,capcay,warteg,nasi_uduk,gorengan,roti,nasigoreng,buah,buah,nasipadang,nasi_uduk,nasi telur,roti,cireng,capcay,ayamgeprek,nasi_uduk,soto,mi instan ,roti,nasipadang,mieayam,gorengan,soto,buah,nasipadang,bakso,gorengan,mi instan ,cireng,mi instan ,mieayam,roti,nasi telur,capcay,gorengan,nasi_uduk,mieayam,warteg,bubur,gorengan,nasipadang,mieayam,nasigoreng,bakso,nasipadang,mieayam,nasi telur,nasipadang,nasi_uduk,warteg,cireng,salad,nasipadang,capcay,cireng,nasi telur,sate,soto,cireng,cireng
mi instan ,buah,sate,salad,nasi telur,warteg,bakso,bakso,cireng,nasipadang,gorengan,nasi telur,warteg,mieayam,salad,salad,roti,nasi telur,mieayam,cireng,sate,bakso,seblak,mieayam,ayamgeprek,capcay,ayamgeprek,sate,nasi_uduk,mi instan ,gorengan,roti,roti,gorengan,cireng,nasigoreng,buah,mieayam,soto,cireng,salad,nasi_uduk,bubur,bakso,buah,nasi telur,sate,nasigoreng,soto,salad,salad,mieayam,nasigoreng,buah,soto,capcay,nasigoreng,salad,nasigoreng,warteg,mi instan ,soto
gorengan,buah,ayamgeprek,capcay,nasi telur,salad,ayamgeprek,nasi telur,mieayam,salad,seblak,nasigoreng,gorengan,ayamgeprek,seblak,nasi_uduk,roti,buah,soto,roti,mieayam,mi instan ,salad,ayamgeprek,mi instan ,buah,bubur,mieayam,ayamgeprek,sate,mi instan ,soto,nasi_uduk,cireng,nasigoreng,ayamgeprek,roti,nasi_uduk,bakso,bakso,roti,nasipadang,seblak,ayamgeprek,warteg,mi instan ,mieayam,bakso,seblak,buah,mieayam,mieayam,mi instan ,roti,bakso,bubur,nasigoreng,buah,mi instan ,ayamgeprek,mieayam,capcay
cireng,roti,soto,sate,bakso,mi instan ,soto,capcay,seblak,warteg,soto,soto,bubur,mieayam,bubur,warteg,seblak,nasi_uduk,soto,salad,mieayam,nasi telur,buah,sate,warteg,capcay,warteg,warteg,nasipadang,soto,roti,seblak,buah,nasigoreng,bubur,cireng,mieayam,buah,nasi telur,mieayam,cireng,nasigoreng,nasi telur,nasi_uduk,nasi_uduk,ayamgeprek,warteg,roti,roti,cireng,mieayam,capcay,gorengan,mi instan ,nasipadang,salad,salad,sate,salad,salad,nasigoreng,ayamgeprek
nasigoreng,salad,nasi_uduk,roti,bubur,bubur,roti,gorengan,bubur,soto,nasigoreng,roti,ayamgeprek,gorengan,roti,nasi_uduk,gorengan,capcay,mi instan ,bakso,sate,nasi telur,nasi_uduk,roti,nasigoreng,soto,capcay,mieayam,nasi telur,soto,roti,soto,nasigoreng,capcay,seblak,warteg,salad,mi instan ,buah,seblak,roti,mi instan ,bubur,warteg,soto,bakso,nasi telur,seblak,nasi_uduk,cireng,bubur,buah,salad,nasigoreng,nasi_uduk,mi instan ,cireng,nasigoreng,buah,nasi telur,ayamgeprek,bakso
gorengan,warteg,nasigoreng,sate,salad,sate,sate,bakso,seblak,capcay,ayamgeprek,nasipadang,warteg,sate,soto,salad,mi instan ,bubur,mi instan ,mieayam,salad,seblak,capcay,capcay,bubur,seblak,warteg,sate,nasi_uduk,buah,bubur,seblak,sate,nasigoreng,roti,nasipadang,bakso,bakso,nasipadang,mi instan ,soto,ayamgeprek,soto,bakso,warteg,seblak,bubur,bubur,nasipadang,salad,nasi_uduk,sate,ayamgeprek,bakso,nasigoreng,gorengan,buah,bubur,roti,soto,gorengan,gorengan
ayamgeprek,nasipadang,mieayam,nasigoreng,ayamgeprek,roti,cireng,salad,ayamgeprek,roti,ayamgeprek,nasi telur,warteg,seblak,bakso,nasi telur,salad,seblak,soto,nasigoreng,cireng,bakso,roti,bubur,gorengan,nasipadang,capcay,bakso,seblak,cireng,mi instan ,gorengan,capcay,gorengan,bakso,seblak,gorengan,nasigoreng,buah,nasi_uduk,mieayam,gorengan,cireng,ayamgeprek,bakso,buah,cireng,nasi_uduk,nasi_uduk,nasipadang,seblak,soto,nasi telur,roti,salad,soto,bakso,soto,ayamgeprek,bakso,capcay,mieayam
mi instan ,nasi_uduk,ayamgeprek,nasipadang,roti,roti,mieayam,mi instan ,nasipadang,sate,sate,bakso,cireng,warteg,gorengan,sate,ayamgeprek,nasipadang,mi instan ,bubur,nasi_uduk,bubur,nasi_uduk,soto,nasipadang,mieayam,cireng,nasipadang,soto,buah,bakso,nasi_uduk,nasipadang,roti,mieayam,seblak,sate,mi instan ,ayamgeprek,soto,bubur,buah,warteg,bubur,roti,ayamgeprek,nasipadang,mieayam,seblak,mieayam,gorengan,roti,seblak,cireng,nasigoreng,seblak,ayamgeprek,buah,mieayam,nasigoreng,nasipadang,cireng
mi instan ,roti,sate,bakso,warteg,salad,bakso,cireng,nasigoreng,warteg,sate,bubur,nasi telur,roti,capcay,ayamgeprek,cireng,seblak,buah,ayamgeprek,ayamgeprek,salad,salad,sate,nasigoreng,salad,salad,gorengan,mieayam,bakso,gorengan,mieayam,buah,cireng,warteg,sate,buah,sate,roti,buah,nasipadang,nasi_uduk,ayamgeprek,soto,seblak,mi instan ,seblak,mieayam,seblak,gorengan,salad,sate,mi instan ,warteg,cireng,gorengan,mieayam,capcay,nasi_uduk,cireng,ayamgeprek,nasipadang
buah,gorengan,gorengan,cireng,ayamgeprek,warteg,warteg,ayamgeprek,soto,cireng,buah,cireng,nasi telur,ayamgeprek,bubur,nasi_uduk,seblak,gorengan,seblak,gorengan,gorengan,cireng,nasi telur,salad,nasi_uduk,soto,mi instan ,salad,buah,nasi_uduk,mi instan ,nasigoreng,ayamgeprek,bakso,buah,nasigoreng,sate,capcay,capcay,nasigoreng,sate,nasigoreng,warteg,capcay,soto,gorengan,cireng,salad,ayamgeprek,roti,nasipadang,mieayam,warteg,bakso,nasi_uduk,roti,bakso,salad,buah,salad,seblak,ayamgeprek
nasi telur,nasipadang,nasi telur,nasi_uduk,capcay,warteg,warteg,nasi_uduk,nasipadang,warteg,nasi telur,roti,sate,warteg,ayamgeprek,cireng,roti,ayamgeprek,cireng,nasipadang,ayamgeprek,bakso,sate,gorengan,cireng,nasi telur,nasipadang,nasigoreng,buah,mi instan ,mi instan ,bubur,roti,sate,buah,bakso,cireng,salad,ayamgeprek,roti,bubur,salad,roti,nasi_uduk,cireng,mieayam,salad,cireng,nasi_uduk,nasi telur,capcay,soto,ayamgeprek,ayamgeprek,roti,seblak,soto,cireng,salad,soto,nasi telur,warteg
gorengan,gorengan,soto,buah,nasi_uduk,capcay,nasi_uduk,nasipadang,ayamgeprek,nasigoreng,bubur,bubur,sate,ayamgeprek,seblak,capcay,cireng,sate,mieayam,nasigoreng,capcay,nasi telur,capcay,capcay,roti,soto,capcay,cireng,gorengan,soto,capcay,cireng,gorengan,gorengan,mieayam,nasigoreng,mi instan ,sate,nasigoreng,capcay,buah,bakso,sate,nasi telur,bubur,gorengan,capcay,cireng,ayamgeprek,roti,capcay,ayamgeprek,gorengan,warteg,nasi telur,salad,soto,gorengan,nasi telur,bubur,bakso,cireng
salad,sate,seblak,gorengan,warteg,bakso,mi instan ,gorengan,salad,nasi_uduk,nasipadang,ayamgeprek,nasipadang,salad,nasigoreng,buah,nasi_uduk,nasigoreng,nasigoreng,nasipadang,ayamgeprek,ayamgeprek,nasi_uduk,buah,bakso,seblak,soto,ayamgeprek,bakso,warteg,nasipadang,bakso,salad,buah,seblak,nasipadang,sate,salad,bakso,nasigoreng,bubur,bakso,soto,bakso,nasi telur,nasigoreng,bubur,seblak,bakso,cireng,seblak,sate,bakso,capcay,bubur,sate,bakso,seblak,ayamgeprek,nasipadang,capcay,nasigoreng
gorengan,salad,bakso,gorengan,nasi_uduk,mieayam,salad,roti,nasi telur,bubur,nasipadang,cireng,nasi_uduk,nasigoreng,soto,nasi_uduk,capcay,roti,sate,nasipadang,salad,nasipadang,roti,nasigoreng,nasipadang,gorengan,mieayam,mieayam,gorengan,buah,ayamgeprek,ayamgeprek,mi instan ,gorengan,sate,bubur,seblak,warteg,nasigoreng,buah,nasigoreng,roti,mieayam,roti,soto,soto,warteg,warteg,capcay,cireng,soto,gorengan,buah,soto,salad,soto,nasipadang,warteg,buah,roti,bakso,bakso
soto,nasipadang,mi instan ,bubur,buah,nasi telur,capcay,warteg,mieayam,buah,cireng,mi instan ,bubur,gorengan,nasigoreng,nasigoreng,salad,salad,salad,bakso,mi instan ,mieayam,bubur,soto,roti,bakso,sate,nasigoreng,roti,sate,gorengan,soto,gorengan,nasi telur,cireng,warteg,ayamgeprek,ayamgeprek,cireng,warteg,nasipadang,bakso,warteg,mi instan ,mieayam,capcay,bubur,mieayam,seblak,ayamgeprek,buah,gorengan,roti,warteg,mieayam,salad,nasi_uduk,roti,capcay,buah,mieayam,capcay
nasigoreng,salad,nasigoreng,mieayam,nasi telur,nasi_uduk,soto,mi instan ,bakso,warteg,ayamgeprek,warteg,nasigoreng,gorengan,salad,bakso,nasigoreng,cireng,bakso,gorengan,soto,roti,bakso,ayamgeprek,nasi telur,seblak,soto,bakso,ayamgeprek,cireng,gorengan,cireng,sate,capcay,salad,seblak,mieayam,soto,soto,bakso,gorengan,seblak,warteg,salad,cireng,nasi_uduk,buah,gorengan,capcay,roti,bubur,nasi telur,seblak,ayamgeprek,nasigoreng,bakso,seblak,bakso,mieayam,bubur,nasipadang,capcay
nasi telur,cireng,soto,ayamgeprek,capcay,nasigoreng,warteg,buah,nasigoreng,bakso,mieayam,capcay,bubur,roti,mi instan ,warteg,gorengan,warteg,mi instan ,roti,nasi_uduk,seblak,bubur,capcay,nasi_uduk,mi instan ,nasigoreng,soto,mi instan ,roti,nasi telur,capcay,ayamgeprek,salad,ayamgeprek,seblak,roti,nasigoreng,warteg,nasi_uduk,buah,nasi_uduk,nasigoreng,bubur,roti,roti,soto,buah,mi instan ,mi instan ,soto,gorengan,sate,mi instan ,soto,nasi_uduk,mi instan ,gorengan,bubur,mi instan ,capcay,gorengan
warteg,ayamgeprek,nasi telur,cireng,capcay,mi instan ,roti,ayamgeprek,bakso,mieayam,cireng,bubur,soto,nasigoreng,warteg,bakso,ayamgeprek,bakso,gorengan,buah,soto,nasigoreng,warteg,salad,nasi telur,seblak,nasigoreng,nasi telur,nasipadang,capcay,sate,gorengan,seblak,capcay,bubur,nasi_uduk,buah,salad,roti,buah,mi instan ,seblak,buah,buah,gorengan,mieayam,capcay,bakso,nasigoreng,warteg,sate,mieayam,soto,mieayam,warteg,roti,bakso,seblak,buah,capcay,soto,bubur
bakso,mieayam,warteg,bakso,gorengan,nasi_uduk,warteg,bakso,seblak,bakso,warteg,buah,cireng,capcay,soto,mi instan ,mi instan ,ayamgeprek,nasigoreng,nasigoreng,bubur,nasi_uduk,nasigoreng,nasi telur,nasi_uduk,nasipadang,salad,bubur,bubur,warteg,capcay,nasi_uduk,sate,bakso,bakso,bakso,roti,buah,seblak,buah,soto,gorengan,nasi telur,seblak,capcay,salad,bubur,gorengan,nasi telur,salad,mieayam,bubur,bubur,nasipadang,nasi_uduk,seblak,soto,warteg,nasi_uduk,bubur,nasi telur,ayamgeprek
nasi telur,roti,nasi_uduk,warteg,seblak,ayamgeprek,seblak,nasipadang,bubur,gorengan,nasigoreng,cireng,ayamgeprek,sate,roti,mieayam,capcay,sate,buah,sate,seblak,soto,nasi_uduk,bubur,nasi_uduk,mieayam,soto,seblak,seblak,nasi_uduk,cireng,roti,mieayam,roti,buah,nasigoreng,seblak,nasigoreng,seblak,gorengan,soto,bakso,gorengan,salad,nasi telur,mieayam,nasigoreng,nasi_uduk,gorengan,salad,capcay,cireng,capcay,soto,buah,nasi_uduk,sate,cireng,salad,ayamgeprek,bubur,roti
sate,bakso,cireng,sate,gorengan,sate,capcay,nasigoreng,gorengan,gorengan,cireng,bubur,soto,cireng,cireng,nasi telur,nasipadang,nasipadang,capcay,mi instan ,sate,warteg,mi instan ,sate,cireng,salad,salad,nasigoreng,bubur,buah,salad,warteg,soto,nasigoreng,mi instan ,roti,nasipadang,soto,capcay,nasipadang,nasipadang,warteg,nasipadang,soto,cireng,bakso,nasi telur,soto,buah,cireng,nasi telur,bubur,mieayam,soto,mieayam,buah,mieayam,sate,buah,seblak,nasigoreng,ayamgeprek
warteg,ayamgeprek,mi instan ,ayamgeprek,ayamgeprek,cireng,bakso,bakso,seblak,mi instan ,mi instan ,soto,nasi telur,gorengan,cireng,cireng,nasipadang,cireng,nasi telur,bubur,gorengan,bubur,nasi_uduk,soto,cireng,nasi_uduk,mi instan ,gorengan,mieayam,bubur,nasi_uduk,sate,cireng,seblak,buah,nasi telur,mi instan ,mieayam,mieayam,buah,roti,sate,cireng,nasipadang,bubur,cireng,sate,buah,bubur,soto,sate,nasipadang,nasi telur,warteg,nasi telur,capcay,bakso,mieayam,capcay,mi instan ,mieayam,mi instan 
sate,bakso,ayamgeprek,mieayam,gorengan,roti,roti,gorengan,capcay,ayamgeprek,bubur,mieayam,mi instan ,buah,salad,nasipadang,salad,nasipadang,cireng,roti,cireng,salad,bakso,nasigoreng,seblak,bubur,sate,bubur,warteg,mi instan ,capcay,seblak,mieayam,bakso,sate,seblak,ayamgeprek,buah,buah,bakso,roti,ayamgeprek,capcay,nasi_uduk,soto,nasigoreng,sate,warteg,seblak,sate,mi instan ,nasi_uduk,ayamgeprek,nasigoreng,roti,seblak,seblak,nasi telur,seblak,nasi_uduk,nasi_uduk,seblak
bakso,capcay,gorengan,sate,nasipadang,nasipadang,nasi telur,bakso,seblak,cireng,nasi telur,cireng,nasigoreng,nasigoreng,sate,seblak,sate,ayamgeprek,nasi_uduk,sate,gorengan,seblak,roti,mieayam,cireng,soto,nasipadang,sate,mi instan ,gorengan,nasi telur,warteg,mi instan ,nasi telur,nasi telur,soto,bakso,nasi telur,buah,seblak,capcay,cireng,seblak,nasipadang,buah,nasipadang,bubur,mieayam,soto,ayamgeprek,gorengan,seblak,cireng,nasipadang,nasipadang,buah,seblak,nasi telur,salad,bakso,mieayam,nasigoreng
nasigoreng,mi instan ,bakso,roti,nasipadang,bubur,salad,ayamgeprek,soto,bakso,warteg,bakso,bubur,mieayam,buah,nasi_uduk,bakso,nasi telur,mi instan ,nasipadang,bakso,nasipadang,nasipadang,mi instan ,seblak,sate,capcay,ayamgeprek,cireng,nasi_uduk,sate,nasi telur,roti,seblak,sate,cireng,capcay,nasipadang,mieayam,sate,roti,bubur,buah,ayamgeprek,nasigoreng,ayamgeprek,bakso,soto,nasipadang,seblak,nasi_uduk,sate,nasipadang,capcay,cireng,roti,cireng,warteg,warteg,nasigoreng,gorengan,seblak
sate,nasi_uduk,soto,warteg,bubur,mieayam,nasi_uduk,gorengan,warteg,mi instan ,seblak,mi instan ,cireng,nasi_uduk,bakso,salad,roti,soto,capcay,ayamgeprek,capcay,ayamgeprek,salad,soto,nasi_uduk,roti,seblak,nasi telur,capcay,soto,capcay,mieayam,salad,nasipadang,bubur,mieayam,ayamgeprek,mieayam,cireng,nasi telur,seblak,bubur,mi instan ,bakso,warteg,salad,capcay,soto,buah,capcay,bakso,gorengan,roti,bubur,nasipadang,mieayam,salad,bubur,gorengan,ayamgeprek,nasi telur,gorengan
capcay,capcay,capcay,soto,nasipadang,nasigoreng,bubur,nasi_uduk,capcay,soto,capcay,nasipadang,roti,nasi_uduk,warteg,gorengan,mieayam,mi instan ,cireng,salad,nasigoreng,nasi_uduk,nasipadang,ayamgeprek,mieayam,roti,warteg,nasi telur,warteg,sate,bubur,seblak,warteg,buah,soto,nasipadang,salad,seblak,bubur,roti,buah,buah,seblak,roti,nasipadang,buah,mi instan ,nasi_uduk,bakso,mi instan ,salad,sate,ayamgeprek,mieayam,capcay,buah,nasi telur,nasi telur,nasi_uduk,nasigoreng,mi instan ,capcay
seblak,seblak,mieayam,warteg,mi instan ,mi instan ,mieayam,cireng,mi instan ,mieayam,capcay,bubur,mieayam,roti,salad,roti,gorengan,seblak,nasi_uduk,bubur,nasi telur,capcay,bubur,soto,bakso,soto,bubur,cireng,nasi_uduk,cireng,salad,mi instan ,nasipadang,ayamgeprek,capcay,roti,nasi_uduk,warteg,cireng,sate,nasi_uduk,bakso,roti,nasi_uduk,mi instan ,salad,roti,nasigoreng,nasigoreng,nasipadang,nasigoreng,nasigoreng,soto,buah,nasi_uduk,mi instan ,salad,roti,soto,nasipadang,soto,gorengan
warteg,ayamgeprek,warteg,roti,soto,nasipadang,nasipadang,bubur,soto,nasipadang,soto,mieayam,roti,bubur,gorengan,nasipadang,ayamgeprek,capcay,mi instan ,warteg,roti,seblak,capcay,mi instan ,nasipadang,bakso,ayamgeprek,salad,sate,nasipadang,mi instan ,capcay,ayamgeprek,seblak,bakso,bubur,soto,salad,bubur,nasi telur,warteg,salad,nasigoreng,buah,mieayam,capcay,cireng,bubur,nasi telur,bubur,nasipadang,nasipadang,buah,gorengan,bubur,cireng,cireng,bubur,ayamgeprek,gorengan,capcay,gorengan
roti,buah,seblak,nasigoreng,nasigoreng,nasi telur,mi instan ,mi instan ,bubur,nasi_uduk,nasi telur,sate,mi instan ,seblak,salad,mi instan ,salad,nasipadang,capcay,gorengan,mieayam,warteg,bakso,sate,salad,warteg,sate,buah,soto,seblak,warteg,bubur,capcay,nasigoreng,bakso,seblak,nasigoreng,bakso,mieayam,roti,soto,nasigoreng,bakso,bakso,cireng,ayamgeprek,soto,soto,nasi telur,nasigoreng,salad,nasi_uduk,warteg,sate,nasi telur,nasigoreng,salad,soto,seblak,roti,ayamgeprek,bubur
gorengan,cireng,bakso,seblak,bakso,bakso,mieayam,nasi telur,cireng,salad,ayamgeprek,mieayam,mi instan ,sate,mieayam,mieayam,soto,nasi telur,bubur,nasi_uduk,ayamgeprek,bubur,salad,cireng,nasipadang,seblak,capcay,salad,soto,nasipadang,nasi telur,seblak,nasipadang,nasigoreng,roti,nasipadang,mi instan ,nasipadang,sate,sate,capcay,bubur,nasipadang,salad,seblak,cireng,ayamgeprek,gorengan,nasi telur,capcay,warteg,capcay,cireng,mi instan ,gorengan,nasi_uduk,salad,nasipadang,nasi_uduk,bubur,mi instan ,nasi telur
nasigoreng,cireng,capcay,nasipadang,capcay,salad,bubur,buah,nasipadang,nasi telur,roti,buah,seblak,nasi telur,salad,bubur,warteg,gorengan,seblak,mi instan ,bubur,seblak,bubur,ayamgeprek,gorengan,nasi_uduk,nasi telur,buah,nasi_uduk,gorengan,nasigoreng,capcay,bakso,nasipadang,nasi telur,sate,bubur,ayamgeprek,nasigoreng,bubur,roti,nasipadang,nasi_uduk,nasigoreng,bakso,warteg,sate,salad,capcay,sate,ayamgeprek,bakso,bakso,sate,ayamgeprek,roti,roti,mieayam,nasi telur,seblak,seblak,nasigoreng
